Questions,Choices
What is your gender?,Female
,Prefer not to say
,Male
,Prefer to self-describe
What is your age (# years)?,18-21
,45-49
,30-34
,70-79
,22-24
,25-29
,40-44
,60-69
,35-39
,50-54
,80+
,55-59
In which country do you currently reside?,Argentina
,Indonesia
,Nigeria
,Germany
,Denmark
,Canada
,Finland
,Israel
,Czech Republic
,Colombia
,China
,Singapore
,Japan
,Kenya
,New Zealand
,Morocco
,Bangladesh
,Austria
,France
,Ukraine
,Spain
,"Iran, Islamic Republic of..."
,Republic of Korea
,Norway
,Pakistan
,South Africa
,Sweden
,Chile
,I do not wish to disclose my location
,Poland
,United Kingdom of Great Britain and Northern Ireland
,Mexico
,Belarus
,Netherlands
,Australia
,Hong Kong (S.A.R.)
,Greece
,Thailand
,Italy
,Portugal
,Russia
,Egypt
,Tunisia
,Hungary
,Peru
,Turkey
,Brazil
,Switzerland
,India
,Belgium
,Philippines
,United States of America
,Malaysia
,Romania
,Viet Nam
,Ireland
,South Korea
What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Master’s degree
,I prefer not to answer
,Bachelor’s degree
,Some college/university study without earning a bachelor’s degree
,Doctoral degree
,Professional degree
,No formal education past high school
Which best describes your undergraduate major?,Physics or astronomy
,"Humanities (history, literature, philosophy, etc.)"
,Mathematics or statistics
,"Computer science (software engineering, etc.)"
,I never declared a major
,Environmental science or geology
,"A business discipline (accounting, economics, finance, etc.)"
,Engineering (non-computer focused)
,Fine arts or performing arts
,"Information technology, networking, or system administration"
,"Social sciences (anthropology, psychology, sociology, etc.)"
,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Select the title most similar to your current role (or most recent title if retired):,Consultant
,Research Assistant
,Student
,Developer Advocate
,Software Engineer
,Principal Investigator
,Data Journalist
,Data Scientist
,Salesperson
,DBA/Database Engineer
,Business Analyst
,Manager
,Statistician
,Research Scientist
,Marketing Analyst
,Product/Project Manager
,Data Engineer
,Data Analyst
,Chief Officer
,Not employed
In what industry is your current employer/contract (or your most recent employer if retired)?,Shipping/Transportation
,Marketing/CRM
,Retail/Sales
,Manufacturing/Fabrication
,I am a student
,Hospitality/Entertainment/Sports
,Insurance/Risk Assessment
,Online Business/Internet-based Sales
,Broadcasting/Communications
,Computers/Technology
,Non-profit/Service
,Government/Public Service
,Online Service/Internet-based Services
,Medical/Pharmaceutical
,Energy/Mining
,Military/Security/Defense
,Academics/Education
,Accounting/Finance
What is your current yearly compensation (approximate $USD)?,"0-10,000"
,I do not wish to disclose my approximate yearly compensation
,"40-50,000"
,"60-70,000"
,"200-250,000"
,"100-125,000"
,"20-30,000"
,"500,000+"
,"70-80,000"
,"125-150,000"
,"150-200,000"
,"90-100,000"
,"10-20,000"
,"250-300,000"
,"50-60,000"
,"30-40,000"
,"80-90,000"
,"300-400,000"
,"400-500,000"
Does your current employer incorporate machine learning methods into their business?,No (we do not use ML methods)
,I do not know
,We use ML methods for generating insights (but do not put working models into production)
,"We have well established ML methods (i.e., models in production for more than 2 years)"
,"We recently started using ML methods (i.e., models in production for less than 2 years)"
,We are exploring ML methods (and may one day put a model into production)
What is the primary tool that you use at work or school to analyze data? (include text response),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)"
,"Advanced statistical software (SPSS, SAS, etc.)"
,"Local or hosted development environments (RStudio, JupyterLab, etc.)"
,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)"
Which of the following integrated development environments (IDE's) have you used at work or school in the last 5 years? (Select all that apply),Jupyter/IPython
,RStudio
,PyCharm
,Visual Studio Code
,nteract
,Atom
,MATLAB
,Visual Studio
,Notepad++
,Sublime Text
,Vim
,IntelliJ
,Spyder
Which of the following cloud computing services have you used at work or school in the last 5 years? (Select all that apply),Google Cloud Platform (GCP)
,Amazon Web Services (AWS)
,Microsoft Azure
,IBM Cloud
,Alibaba Cloud
,I have not used any cloud providers
What programming languages do you use on a regular basis? (Select all that apply),Python
,R
,SQL
,Bash
,Java
,Javascript/Typescript
,Visual Basic/VBA
,C/C++
,MATLAB
,Scala
,Julia
,Go
,C#/.NET
,PHP
,Ruby
,SAS/STATA
What specific programming language do you use most often?,Ruby
,Julia
,C/C++
,Java
,Visual Basic/VBA
,Scala
,PHP
,C#/.NET
,Python
,R
,Bash
,Go
,Javascript/Typescript
,SAS/STATA
,SQL
,MATLAB
What programming language would you recommend an aspiring data scientist to learn first?,C++
,Javascript
,Scala
,Java
,Go
,R
,Python
,VBA
,SAS
,SQL
,MATLAB
What machine learning frameworks have you used in the past 5 years? (Select all that apply),Scikit-Learn
,TensorFlow
,Keras
,PyTorch
,Spark MLlib
,H20
,Fastai
,Mxnet
,Caret
,Xgboost
,mlr
,Prophet
,randomForest
,lightgbm
,catboost
,CNTK
,Caffe
"Of the choices that you selected in the previous question, which ML library have you used the most?",catboost
,TensorFlow
,Caret
,Mxnet
,Spark MLlib
,Scikit-Learn
,lightgbm
,Xgboost
,PyTorch
,Fastai
,Keras
,randomForest
,Caffe
,mlr
,Prophet
,H20
,CNTK
Approximately what percent of your time at work or school is spent actively coding?,100% of my time
,75% to 99% of my time
,50% to 74% of my time
,1% to 25% of my time
,0% of my time
,25% to 49% of my time
How long have you been writing code to analyze data?,3-5 years
,20-30 years
,1-2 years
,5-10 years
,I have never written code but I want to learn
,40+ years
,< 1 year
,10-20 years
,30-40 years
,I have never written code and I do not want to learn
For how many years have you used machine learning methods (at work or in school)?,4-5 years
,2-3 years
,10-15 years
,3-4 years
,1-2 years
,< 1 year
,I have never studied machine learning but plan to learn in the future
,5-10 years
,I have never studied machine learning and I do not plan to
,20+ years
Do you consider yourself to be a data scientist?,Definitely not
,Probably yes
,Maybe
,Definitely yes
,Probably not
Which of the following cloud computing products have you used at work or school in the last 5 years (Select all that apply)?,AWS Elastic Compute Cloud (EC2)
,Google Compute Engine
,AWS Elastic Beanstalk
,Google App Engine
,Google Kubernetes Engine
,AWS Lambda
,Google Cloud Functions
,AWS Batch
,Azure Virtual Machines
,Azure Container Service
,Azure Functions
,Azure Event Grid
,Azure Batch
,Azure Kubernetes Service
,IBM Cloud Virtual Servers
,IBM Cloud Container Registry
,IBM Cloud Kubernetes Service
,IBM Cloud Foundry
Which of the following relational database products have you used at work or school in the last 5 years? (Select all that apply),AWS Relational Database Service
,AWS Aurora
,Google Cloud SQL
,Google Cloud Spanner
,AWS DynamoDB
,Google Cloud Datastore
,Google Cloud Bigtable
,AWS SimpleDB
,Microsoft SQL Server
,MySQL
,PostgresSQL
,SQLite
,Oracle Database
,Ingres
,Microsoft Access
,NexusDB
,SAP IQ
,Google Fusion Tables
,Azure Database for MySQL
,Azure Cosmos DB
,Azure SQL Database
,Azure Database for PostgreSQL
,IBM Cloud Compose
,IBM Cloud Compose for MySQL
,IBM Cloud Compose for PostgreSQL
,IBM Cloud Db2
Which types of data do you currently interact with most often at work or school? (Select all that apply),Audio Data
,Categorical Data
,Genetic Data
,Geospatial Data
,Image Data
,Numerical Data
,Sensor Data
,Tabular Data
,Text Data
,Time Series Data
,Video Data
,Other Data
What is the type of data that you currently interact with most often at work or school?,Other Data
,Genetic Data
,Time Series Data
,Image Data
,Tabular Data
,Text Data
,Numerical Data
,Audio Data
,Geospatial Data
,Video Data
,Sensor Data
,Categorical Data
"Do you consider ML models to be ""black boxes"" with outputs that are difficult or impossible to explain?",I am confident that I can explain the outputs of most if not all ML models
,"I view ML models as ""black boxes"" but I am confident that experts are able to explain model outputs"
,"Yes, most ML models are ""black boxes"""
,I do not know; I have no opinion on the matter
,I am confident that I can understand and explain the outputs of many but not all ML models
